Regioaanduiding/Gemeentenaam (naam),Bevolking/Aantal inwoners (aantal),Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal),Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal),Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)
Ermelo                                  ,83576,71940,4166,7430
Etten-Leur                              ,135737,105598,11614,18535
Geertruidenberg                         ,66185,57468,4103,4629
Geldrop-Mierlo                          ,122203,95180,10546,16482
Gemert-Bakel                            ,94310,81388,6871,6026
Gennep                                  ,53374,43650,5530,4154
Gilze en Rijen                          ,82043,64983,5669,11361
Goeree-Overflakkee                      ,155592,140521,6824,8272
Goes                                    ,119047,95050,9691,14306
Goirle                                  ,72997,62900,4572,5500
Gooise Meren                            ,181100,132988,17801,30286
Gorinchem                               ,116011,81733,9963,24330
Gouda                                   ,227273,158833,18013,50427
Groningen                               ,731308,519528,82005,129780
Gulpen-Wittem                           ,42174,35476,4557,2126
Haaksbergen                             ,73034,62642,4492,5895
Haarlem                                 ,502941,320201,64265,118420
Haarlemmermeer                          ,489378,321038,46290,122105
Halderberge                             ,93558,75587,7918,10053
Hardenberg                              ,188787,172302,6422,10053
Harderwijk                              ,148157,117231,7867,23094
Hardinxveld-Giessendam                  ,56277,50456,2197,3644
Harlingen                               ,48689,41316,3408,3930
Hattem                                  ,37879,34040,1337,2507
Heemskerk                               ,118362,90885,8370,19107
Heemstede                               ,82763,62278,8120,12395
Heerde                                  ,57666,52770,1857,3054
Heerenveen                              ,155357,132307,7686,15344
Heerlen                                 ,262396,178001,41450,43035
Heeze-Leende                            ,50412,43497,3592,3323
Heiloo                                  ,72952,61731,4419,6777
Hellendoorn                             ,108759,99151,3398,6235
Helmond                                 ,287619,194611,39803,53220
Hendrik-Ido-Ambacht                     ,98079,80279,5088,12697
Hengelo (O.)                            ,249178,183099,18627,47442
Het Hogeland                            ,144629,129619,5765,9295
Heumen                                  ,50506,42176,3839,4506
Heusden                                 ,138071,114482,10198,13406
Hillegom                                ,68462,53268,7712,7507
Hilvarenbeek                            ,47881,43100,2530,2266
Hilversum                               ,283310,184655,34550,64115
Hoeksche Waard                          ,270756,237788,13048,19975
Hof van Twente                          ,106341,93995,5588,6728
Hollands Kroon                          ,148582,126980,12627,8970
Hoogeveen                               ,169766,145525,8227,16029
Hoorn                                   ,226930,164100,19278,43522
Horst aan de Maas                       ,131757,111562,13876,6309
Houten                                  ,152527,122754,8855,20928
Huizen                                  ,123578,93553,8653,21357
Hulst                                   ,81990,55106,22477,4422
IJsselstein                             ,100256,77095,5447,17699
Kaag en Braassem                        ,87508,73460,5821,8262
Kampen                                  ,168532,146933,7201,14393
Kapelle                                 ,39029,34165,2379,2470
Katwijk                                 ,200901,172383,10962,17531
Kerkrade                                ,135921,90046,31595,14275
Koggenland                              ,70762,62730,3587,4450
Krimpen aan den IJssel                  ,88881,70912,4562,13412
Krimpenerwaard                          ,173345,149795,8113,15457
Laarbeek                                ,69655,61419,4327,3929
Land van Cuijk                          ,275167,232739,18990,23398
Landgraaf                               ,111342,84133,17966,9263
Landsmeer                               ,34991,27166,2699,5116
Lansingerland                           ,196784,151950,11756,33033
Laren (NH.)                             ,34309,25652,3594,5083
Leeuwarden                              ,386430,304819,25885,55781
Leiden                                  ,390313,247873,51252,91198
Leiderdorp                              ,83216,61350,6379,15497
Leidschendam-Voorburg                   ,234694,146466,25905,62303
Lelystad                                ,252235,153919,26511,71825
Leudal                                  ,108011,91274,10621,6166
Leusden                                 ,95056,78456,5433,11127
Lingewaard                              ,141934,124073,7887,9984
Lisse                                   ,70352,58412,5641,6274
Lochem                                  ,102879,89292,4935,8657
Loon op Zand                            ,71545,61797,4611,5142
Lopik                                   ,44169,38710,2031,3418
Losser                                  ,70136,58927,6688,4496
Maasdriel                               ,78597,65333,8831,4458
Maasgouw                                ,73206,60501,8520,4205
Maashorst                               ,177647,147147,12287,18208
Maassluis                               ,107497,73283,8419,25795
Maastricht                              ,375870,232757,77026,66072
Medemblik                               ,138017,115317,11618,11052
Meerssen                                ,55736,47038,5088,3575
Meierijstad                             ,252914,208360,19496,25068
Meppel                                  ,107430,90310,6059,11096
Middelburg (Z.)                         ,150024,115084,12743,22187
Midden-Delfland                         ,58127,49124,3040,5938
Midden-Drenthe                          ,102267,92867,3724,5681
Midden-Groningen                        ,184323,151651,10825,21797
Moerdijk                                ,114271,96346,8467,9448
Molenlanden                             ,135831,123023,5696,7077
