gemeente_naam,population,num_households,avg_income_household,median_income_household,pct_migration_background,votes_total,50PLUS_share_pct,BBB_share_pct,BIJ1_share_pct,BELANG_VAN_NEDERLAND_BVNL_share_pct,CDA_share_pct,CHRISTENUNIE_share_pct,D66_share_pct,DE_LINIE_share_pct,DENK_share_pct,ELLECT_share_pct,FNP_share_pct,FORUM_VOOR_DEMOCRATIE_share_pct,GROENLINKS_PARTIJ_VAN_DE_ARBEID_PVDA_share_pct,JA21_share_pct,LP_LIBERTAIRE_PARTIJ_share_pct,NL_PLAN_share_pct,NIEUW_SOCIAAL_CONTRACT_NSC_share_pct,PVV_PARTIJ_VOOR_DE_VRIJHEID_share_pct,PARTIJ_VOOR_DE_DIEREN_share_pct,PARTIJ_VOOR_DE_RECHTSSTAAT_share_pct,PIRATENPARTIJ_share_pct,SP_SOCIALISTISCHE_PARTIJ_share_pct,STAATKUNDIG_GEREFORMEERDE_PARTIJ_SGP_share_pct,VVD_share_pct,VOLT_share_pct,VREDE_VOOR_DIEREN_share_pct,VRIJ_VERBOND_share_pct,econ_CENTERLEFT_share_pct,econ_CENTERRIGHT_share_pct,econ_LEFT_share_pct,econ_RIGHT_share_pct,mig_CONSERVATIVE_share_pct,mig_EXTREME_CONSERVATIVE_share_pct,mig_EXTREME_PROGRESSIVE_share_pct,mig_PROGRESSIVE_share_pct
GULPEN-WITTEM,14017.0,6600.0,57900.0,49600.0,15.825035561877668,9677.0,1.6327374186214736,6.892632014053943,0.07233646791360959,0.21700940374082878,15.314663635424203,0.5063552753952671,12.648548103751162,0.03100134339154697,0.1653404980882505,0.0,0.04133512452206262,4.774206882298233,12.038855017050738,5.735248527436189,0.0930040301746409,0.0,0.21700940374082878,21.370259377906375,1.4777307016637387,0.0,0.051668905652578284,1.6120698563604423,0.21700940374082878,13.805931590368917,0.7543660225276428,0.330680996176501,0.0,13.196238503668491,16.947401054045677,2.8521235920223207,31.239020357548828,30.753332644414595,17.43308876717991,2.635114188281492,13.41324790740932
HAAKSBERGEN,24225.0,10400.0,65500.0,52900.0,14.196199280945043,16453.0,1.732206892360056,5.840880082659697,0.030389594602807997,0.1580258919346016,18.42217224822221,0.49231143256548954,13.620616300978543,0.0182337567616848,1.1669604327478271,0.0,0.0182337567616848,6.175165623290586,6.387892785510241,8.022852975141312,0.0486233513644928,0.0,0.6442594055795295,17.680666139913694,0.5834802163739136,0.0,0.0547012702850544,1.4222330274114143,0.182337567616848,16.60487449097429,0.6199477298972832,0.0668571081261776,0.0060779189205616,14.131161490305718,20.154379140582268,2.522336352033064,36.668084847748126,36.75925363155656,20.05713243785328,1.3006746490001824,15.358901112259161
HAARLEM,168743.0,80000.0,61600.0,48400.0,36.320663276718214,92130.0,1.1472918701834365,1.0593726256376859,0.5991533702377076,0.27135569304244006,6.822967545859113,0.7891023553674156,25.534570715293608,0.0,3.3604689026375776,0.0,0.0,3.2171930967111693,22.25550852056876,4.1126668837512215,0.09443178117876913,0.04450233365896016,0.3343102138282861,9.993487463366982,3.820688158037556,0.0,0.1443612286985781,2.1339411700857482,0.22359709106697057,11.747530663193313,2.0460219255399976,0.24096385542168677,0.006512536633018561,26.323673070661023,8.01476174970151,10.211657440573104,20.143275805926407,19.762292412894823,8.389232606100077,6.706827309236949,29.835015738630197
HAARLEMMERMEER,165255.0,68800.0,68900.0,58500.0,34.410727969348656,92082.0,1.5301579027388632,1.9384896070893336,0.33991442410025846,0.2628092352468452,9.798874915835885,1.296670359027823,17.600616841510828,0.0,3.1450229143589405,0.0,0.0,4.675180817097805,9.677244195391065,7.195760300601638,0.08036315457961382,0.0412675658652071,0.3453443669772594,17.20857496579136,1.6181229773462782,0.0,0.10751286896461848,1.4259029995004453,0.761277991355531,19.962641993006233,0.8459851002367454,0.12488868617102147,0.01737581720640299,18.89728720053865,11.370300384439956,6.181446971177863,33.78944853500141,31.332942377446187,13.809430724788776,2.928911187854304,22.16719880106861
HALDERBERGE,31347.0,13500.0,61300.0,51600.0,19.206412825651302,18651.0,2.0213393383732776,2.739799474559005,0.08578628491769878,0.20374242667953463,12.782156452737118,0.3538684252855075,12.610583882901722,0.03216985684413705,1.474451772022948,0.0,0.03216985684413705,5.034582596107447,6.133719371615463,7.356173931692671,0.026808214036780867,0.016084928422068524,0.3109752828266581,25.07104176719747,0.9007559916358373,0.0,0.08578628491769878,1.479813414830304,0.20910406948689078,20.358157739531393,0.5844190660018229,0.09114792772505495,0.005361642807356174,12.996622165031365,14.819580719532464,3.2223473272210605,35.526245241542014,35.17773845906386,15.16272585920326,1.6621092702804139,14.562221864779367
HARDENBERG,63415.0,25600.0,62100.0,53800.0,8.304448981529843,41954.0,1.2084664155980358,7.598798684273252,0.026219192448872573,0.1453973399437479,19.507079181961196,7.489154788577966,8.540306049482767,0.05958907374743767,0.19545216189159556,0.0,0.06435619964723269,6.8575106068551275,5.119893216379844,6.94093531010154,0.04290413309815512,0.0,0.38375363493349857,19.078037850979644,0.6697811889211993,0.0,0.06197263669733518,1.1202745864518282,2.223864232254374,12.172855985126567,0.4171235162320637,0.0667397625971302,0.009534251799590027,16.093817037707964,20.71554559755923,1.4372884587881967,33.639223911903514,32.8884015826858,21.456833674977357,1.1798636601992658,16.360776088096483
HARDERWIJK,50042.0,21400.0,62200.0,52200.0,20.902095778070265,31190.0,0.9297851875601153,2.1769798012183394,0.17313241423533185,0.1635139467778134,16.620711766591857,5.748637383776852,14.543122795767873,0.0,3.5941006732927225,0.0,0.016030779095864058,4.386021160628407,8.634177621032382,6.925296569413273,0.08977236293683873,0.0,0.2981724911830715,14.418082718820136,1.3722346906059635,0.0,0.09618467457518436,1.1798653414555949,2.8053863417762104,14.838089131131774,0.8303943571657582,0.14427701186277653,0.016030779095864058,20.307790958640588,17.55049695415197,6.210323821737736,28.342417441487658,32.38858608528375,13.48829753126002,2.52003847386983,24.01410708560436
HARDINXVELD-GIESSENDAM,19123.0,7400.0,67800.0,55200.0,10.369185659069705,12199.0,0.852528895811132,1.4755307812115748,0.032789572915812776,0.16394786457906385,15.722600213132223,9.70571358308058,6.0414788097385035,0.06557914583162555,0.467251414050332,0.0,0.024592179686859575,5.7217804738093285,4.172473153537175,6.500532830559883,0.04098696614476596,0.0,0.1967374374948766,14.845479137634232,0.6475940650873022,0.0,0.08197393228953193,0.9181080416427576,21.649315517665382,10.32051807525207,0.29510615624231495,0.05738175260267235,0.0,15.771784572505943,16.575129108943354,1.5820968931879662,24.083941306664478,26.895647184195425,13.76342323141241,1.0328715468481022,16.321009918845807
HARLINGEN,16210.0,7800.0,50900.0,42300.0,15.049291435613062,10073.0,1.816737813958106,3.166881763129157,0.16876799364638143,0.23826069691253848,12.042092723121216,1.9160131043383302,13.600714782090737,0.0,0.3176809292167179,0.0,0.7842747940037725,6.711009629703167,12.965352923657303,5.718256725900924,0.05956517422813462,0.0,0.45666633574903204,19.30904397895364,1.7273900526159038,0.03971011615208974,0.09927529038022437,2.6109401369999006,0.6849995036235481,14.653032860121115,0.6949270326615705,0.17869552268440386,0.03971011615208974,16.301002680432838,13.858830537079323,3.1867368212052023,30.328601211158542,28.55157351335253,15.596148118733247,2.76978060160826,16.757669016181868
HATTEM,12745.0,5300.0,66200.0,55700.0,10.156404672342111,8712.0,1.2167125803489438,2.8236914600550964,0.08034894398530762,0.33287419651056016,18.89348025711662,10.181359044995409,14.485766758494032,0.0,0.33287419651056016,0.0,0.01147842056932966,4.235537190082645,10.181359044995409,5.899908172635445,0.03443526170798898,0.0,0.4247015610651974,11.868686868686869,1.1707988980716253,0.0,0.01147842056932966,1.2281910009182737,2.6744719926538107,13.016528925619836,0.8034894398530763,0.09182736455463728,0.0,24.67860422405877,20.110192837465565,2.4908172635445363,25.97566574839302,33.1267217630854,12.959136822773186,2.1464646464646466,25.022956841138658
