"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)"
"Baaienbuurt";"Capelle aan den IJssel                  ";1395;1005;90;305
"Paradijssel";"Capelle aan den IJssel                  ";905;630;75;205
"Oostgaarde Noord";"Capelle aan den IJssel                  ";6515;3115;575;2820
"Beemster/Purmerhoek";"Capelle aan den IJssel                  ";1630;660;150;815
"Schermerhoek";"Capelle aan den IJssel                  ";1245;415;85;750
"Wormerhoek";"Capelle aan den IJssel                  ";395;270;25;110
"Scandinavischebuurt";"Capelle aan den IJssel                  ";475;340;30;110
"Amerikaansebuurt";"Capelle aan den IJssel                  ";405;195;40;170
"Bergenbuurt";"Capelle aan den IJssel                  ";1650;885;230;540
"Molukkenbuurt";"Capelle aan den IJssel                  ";710;350;15;340
"Schenkel";"Capelle aan den IJssel                  ";6295;3760;520;2015
"'s-Gravenweg/Alexanderlaan";"Capelle aan den IJssel                  ";195;130;5;60
"'s-Gravenpark";"Capelle aan den IJssel                  ";185;140;20;30
"Stationsbuurt";"Capelle aan den IJssel                  ";235;180;15;40
"Klaverweide";"Capelle aan den IJssel                  ";35;30;0;0
"Klinkert";"Capelle aan den IJssel                  ";70;50;5;10
"Molenbuurt";"Capelle aan den IJssel                  ";1055;790;90;175
"Florabuurt";"Capelle aan den IJssel                  ";1775;600;150;1025
"Bloemenbuurt-west";"Capelle aan den IJssel                  ";1345;965;80;300
"Bloemenbuurt-oost";"Capelle aan den IJssel                  ";620;385;40;195
"Akker/Haagwinde";"Capelle aan den IJssel                  ";770;480;115;175
"Sportpark Schenkel";"Capelle aan den IJssel                  ";0;0;0;0
"Schollevaar Zuid";"Capelle aan den IJssel                  ";14020;7720;1315;4980
"Dansenbuurt-noord";"Capelle aan den IJssel                  ";1055;620;80;350
"Burgenbuurt";"Capelle aan den IJssel                  ";1455;900;145;405
"Dansenbuurt-zuid";"Capelle aan den IJssel                  ";1110;510;125;475
"Ervenbuurt";"Capelle aan den IJssel                  ";2135;1255;200;675
"Stadsdeelpark";"Capelle aan den IJssel                  ";655;565;25;65
"Instrumentenbuurt";"Capelle aan den IJssel                  ";1180;710;105;365
"Kunstenaarsbuurt";"Capelle aan den IJssel                  ";1400;820;150;440
"Operabuurt";"Capelle aan den IJssel                  ";2060;900;210;960
"Gebouwenbuurt";"Capelle aan den IJssel                  ";1405;660;160;585
"Schildersvormenbuurt";"Capelle aan den IJssel                  ";1560;780;125;650
"Schollevaar Noord";"Capelle aan den IJssel                  ";3360;1950;355;1055
"Hoofdweg sector E/F";"Capelle aan den IJssel                  ";40;5;5;35
"Hoofdweg sector A";"Capelle aan den IJssel                  ";280;115;40;125
"Hoofdweg sector B";"Capelle aan den IJssel                  ";0;0;0;0
"Hoofdweg sector C";"Capelle aan den IJssel                  ";0;0;0;0
"Hoofdweg sector D";"Capelle aan den IJssel                  ";0;0;0;0
"Hoofdweg sector G";"Capelle aan den IJssel                  ";5;5;0;0
"Sporenbuurt-west";"Capelle aan den IJssel                  ";750;410;95;250
"Sporenbuurt-oost";"Capelle aan den IJssel                  ";1085;625;95;365
"Tuinenbuurt";"Capelle aan den IJssel                  ";580;435;60;95
"Kunstenaarsbuurt-noord";"Capelle aan den IJssel                  ";610;365;65;180
"Rivium";"Capelle aan den IJssel                  ";3690;1255;580;1855
"Fascinatio-west";"Capelle aan den IJssel                  ";1405;455;145;800
"Fascinatio-oost";"Capelle aan den IJssel                  ";1490;590;160;740
"Capelsebrug";"Capelle aan den IJssel                  ";370;175;25;165
"Rijckevorselpark";"Capelle aan den IJssel                  ";0;0;0;0
"Rivium 1e straat";"Capelle aan den IJssel                  ";200;30;35;130
"AWZI Rivium";"Capelle aan den IJssel                  ";0;0;0;0
"Rivium 2e straat";"Capelle aan den IJssel                  ";235;0;210;20
"Rivium Promenade";"Capelle aan den IJssel                  ";0;0;0;0
"Castricum";"Castricum                               ";36366;31446;1945;2975
"Wijk 00 Centrum";"Castricum                               ";4860;4170;280;410
"Centrum-Noord";"Castricum                               ";2380;2085;125;165
"Centrum-Zuid";"Castricum                               ";2480;2080;155;245
"Wijk 01 Castricum-Noord";"Castricum                               ";5540;4760;305;480
"Oranjebuurt";"Castricum                               ";2990;2580;165;245
"Kooiweg";"Castricum                               ";2550;2180;140;235
"Wijk 02 Castricum-Oost";"Castricum                               ";8435;7125;470;840
"Molendijk";"Castricum                               ";3330;2845;200;290
"Noord-End";"Castricum                               ";2265;1925;120;215
"Albert's Hoeve";"Castricum                               ";2835;2355;150;335
"Wijk 03 Castricum-Zuid";"Castricum                               ";760;655;25;75
"Beverwijkerstraatweg";"Castricum                               ";690;585;30;80
"Buitengebied";"Castricum                               ";70;70;0;0
"Wijk 04 Bakkum";"Castricum                               ";3755;3155;250;355
"Bakkum-Noord";"Castricum                               ";525;465;20;40
"Bakkum-Zuid";"Castricum                               ";2145;1755;150;235
"Duin en Bosch";"Castricum                               ";1045;900;65;80
"Duingebied";"Castricum                               ";45;35;10;0
"Wijk 05 Akersloot";"Castricum                               ";5085;4480;250;355
"Akersloot Oost";"Castricum                               ";1680;1505;65;105
"Akersloot West";"Castricum                               ";3405;2975;185;250
"Wijk 06 De Woude";"Castricum                               ";150;135;5;5
"De Woude";"Castricum                               ";150;135;5;10
"Wijk 07 Limmen";"Castricum                               ";7780;6965;355;455
"Limmen West";"Castricum                               ";3050;2755;135;160
"Limmen Centrum";"Castricum                               ";2585;2340;90;145
"Limmen Oost";"Castricum                               ";2150;1875;125;145
"Coevorden";"Coevorden                               ";35725;31646;1810;2269
"Wijk 10 Coevorden";"Coevorden                               ";14590;12380;985;1225
"Coevorden-Centrum";"Coevorden                               ";2260;1935;130;185
"Lootuinen";"Coevorden                               ";1345;990;150;205
"Poppenhare";"Coevorden                               ";1230;935;95;200
"Binnenvree Buitenvree Pikveld";"Coevorden                               ";3045;2600;195;250
"De Heege";"Coevorden                               ";2150;1930;100;125
"Klooster";"Coevorden                               ";175;165;5;10
"Ballast";"Coevorden                               ";1640;1475;95;75
"De Loo";"Coevorden                               ";1240;1000;110;125
"Verspreide huizen Coevorden";"Coevorden                               ";70;65;5;0
"Holwert";"Coevorden                               ";20;15;5;0
"Hare";"Coevorden                               ";120;105;5;0
"Leeuwerikenveld";"Coevorden                               ";65;55;5;5
"De Heege en De Mars";"Coevorden                               ";5;10;0;0
"Klinkenvlier";"Coevorden                               ";145;135;5;5
"Ossehaar";"Coevorden                               ";1080;970;70;40
"Wijk 11 Steenwijksmoer";"Coevorden                               ";915;850;35;35
"Steenwijksmoer";"Coevorden                               ";595;550;20;25
"Verspreide huizen Steenwijksmoer";"Coevorden                               ";320;300;15;10
"Wijk 12 Nieuwe Krim";"Coevorden                               ";190;180;5;5
"Nieuwe Krim";"Coevorden                               ";180;170;5;5
"Verspreide huizen Nieuwe Krim";"Coevorden                               ";10;10;0;0
"Wijk 13 Weijerswold";"Coevorden                               ";85;80;5;0
"Verspreide huizen Weijerswold";"Coevorden                               ";85;75;5;5
"Wijk 14 Vlieghuis en Padhuis";"Coevorden                               ";110;105;5;0
"Verspreide huizen Vlieghuis en Padhuis";"Coevorden                               ";110;100;5;0
"Wijk 20 Dalen";"Coevorden                               ";5415;5060;190;165
"Dalen";"Coevorden                               ";3225;3010;120;100
"Verspreide huizen Dalen";"Coevorden                               ";400;375;15;15
"Wachtum";"Coevorden                               ";260;250;10;5
"Verspreide huizen Wachtum";"Coevorden                               ";115;105;5;5
"Dalerpeel";"Coevorden                               ";575;545;15;15
"Verspreide huizen Dalerpeel";"Coevorden                               ";245;230;5;10
"Dalerveen";"Coevorden                               ";305;295;5;5
"Verspreide huizen Dalerveen";"Coevorden                               ";50;50;0;0
"Stieltjeskanaal";"Coevorden                               ";160;145;5;10
"Verspreide huizen Stieltjeskanaal";"Coevorden                               ";75;60;10;0
"Wijk 30 Oosterhesselen";"Coevorden                               ";4345;3990;195;165
"Oosterhesselen";"Coevorden                               ";1765;1625;45;90
"Verspreide huizen Oosterhesselen";"Coevorden                               ";130;120;5;0
"Gees";"Coevorden                               ";540;520;5;15
"Verspreide huizen Gees";"Coevorden                               ";130;55;65;10
"Zwinderen";"Coevorden                               ";250;230;15;5
"Verspreide huizen Zwinderen";"Coevorden                               ";145;145;0;0
"Geesbrug";"Coevorden                               ";685;640;25;20
"Verspreide huizen Geesbrug";"Coevorden                               ";640;600;25;20
"Verspreide huizen Nieuwlande";"Coevorden                               ";60;55;0;0
"Wijk 40 Sleen";"Coevorden                               ";6855;6285;280;290
"Sleen";"Coevorden                               ";2215;2015;100;100
"Diphoorn";"Coevorden                               ";60;55;5;5
"Verspreide huizen Sleen";"Coevorden                               ";55;50;0;0
"Noord-Sleen";"Coevorden                               ";495;480;10;10
"'t Haantje";"Coevorden                               ";210;185;15;10
"Verspreide huizen 't Haantje";"Coevorden                               ";30;30;0;0
"Verspreide huizen Noord-Sleen";"Coevorden                               ";110;110;0;0
"Schoonoord";"Coevorden                               ";2025;1850;70;110
"De Kiel";"Coevorden                               ";260;250;5;5
"Verspreide huizen De Kiel";"Coevorden                               ";110;100;5;5
"Verspreide huizen Kibbelveen";"Coevorden                               ";30;30;0;0
"Verspreide huizen Schoonoord";"Coevorden                               ";120;115;5;5
"Verspreide huizen Veenoord";"Coevorden                               ";55;60;0;0
"Erm";"Coevorden                               ";385;355;25;10
"Achterste Erm";"Coevorden                               ";90;80;10;5
"Holsloot";"Coevorden                               ";125;115;5;0
"Verspreide huizen Holsloot";"Coevorden                               ";100;95;0;10
"Verspreide huizen Erm";"Coevorden                               ";360;315;25;20
"Wijk 50 Zweeloo";"Coevorden                               ";3230;2735;120;380
"Zweeloo";"Coevorden                               ";320;300;10;10
"Aalden";"Coevorden                               ";1575;1460;55;60
"Verspreide huizen Zweeloo";"Coevorden                               ";355;55;20;280
"Meppen";"Coevorden                               ";330;315;5;5
"Verspreide huizen Meppen";"Coevorden                               ";75;70;0;5
"Wezup";"Coevorden                               ";195;165;15;15
"Wezuperbrug";"Coevorden                               ";165;155;10;0
"Benneveld";"Coevorden                               ";145;135;5;5
"Verspreide huizen Benneveld";"Coevorden                               ";30;30;0;0
"Verspreide huizen Wezuperbrug";"Coevorden                               ";40;45;0;0
"Cranendonck";"Cranendonck                             ";20841;16863;2326;1652
"Wijk 00 Budel";"Cranendonck                             ";9520;7470;1165;875
"Budel";"Cranendonck                             ";7920;6295;1045;580
"Heikant, Meemortel, Bosch";"Cranendonck                             ";420;375;30;10
"Keunenhoek Broekkant Schoordijk";"Cranendonck                             ";410;380;20;10
"Verspreide huizen Berg en Toom";"Cranendonck                             ";355;305;40;5
"Verspreide huizen in het Oosten";"Cranendonck                             ";415;110;25;280
"Wijk 01 Schoot";"Cranendonck                             ";2140;1660;320;165
"Budel-Schoot";"Cranendonck                             ";1915;1470;290;155
"Klein-Schoot";"Cranendonck                             ";115;95;15;5
"Verspreide huizen in het Westen";"Cranendonck                             ";115;95;15;5
"Wijk 02 Dorplein";"Cranendonck                             ";1420;1090;220;110
"Budel-Dorplein";"Cranendonck                             ";1400;1075;215;105
"Industrieterrein Dorplein";"Cranendonck                             ";0;0;0;0
"Verspreide huizen Budel-Dorplein";"Cranendonck                             ";20;15;5;5
"Wijk 03 Maarheeze";"Cranendonck                             ";5175;4340;420;420
"Maarheeze";"Cranendonck                             ";4635;3855;380;400
"Kamersven";"Cranendonck                             ";200;175;15;15
"Industrieterrein Den Engelsman Rondven";"Cranendonck                             ";10;10;0;0
"Verspreide huizen Hugten";"Cranendonck                             ";205;185;15;5
"Verspreide huizen Maarheeze";"Cranendonck                             ";130;120;10;0
"Wijk 04 Soerendonk";"Cranendonck                             ";1840;1640;135;65
"Soerendonk";"Cranendonck                             ";1750;1565;130;55
"Verspreide huizen Soerendonk";"Cranendonck                             ";95;75;5;15
"Wijk 05 Gastel";"Cranendonck                             ";745;665;70;10
"Gastel";"Cranendonck                             ";735;655;70;15
"Verspreide huizen Gastelse Hei";"Cranendonck                             ";10;10;0;0
"Culemborg";"Culemborg                               ";29944;22207;1983;5754
"Culemborg Oost";"Culemborg                               ";17070;12285;1250;3535
"Binnenstad";"Culemborg                               ";2695;1755;310;635
"Dreven";"Culemborg                               ";340;305;15;25
"Bloemen/Oranjebuurt";"Culemborg                               ";2170;1825;135;210
"De Hond";"Culemborg                               ";1160;1000;65;95
"Ter Weijde Componistenbuurt";"Culemborg                               ";2020;1525;150;340
"Ter Weijde Statenliedenbuurt";"Culemborg                               ";2340;1000;140;1195
"Voorkoop Noord";"Culemborg                               ";1415;1140;105;170
"Voorkoop Zuid";"Culemborg                               ";2150;1550;135;475
"Westerkwartier";"Culemborg                               ";1195;900;75;220
"Lanxmeer";"Culemborg                               ";1420;1140;115;160
"Buitengebied Redichem";"Culemborg                               ";155;145;5;5
"Culemborg West";"Culemborg                               ";12875;9925;735;2220
"Achter de Poort";"Culemborg                               ";1520;785;90;645
"Goilberdingen Oost";"Culemborg                               ";2630;2190;130;315
"Goilberdingen West";"Culemborg                               ";2225;1800;130;300
"Parijsch Landzicht";"Culemborg                               ";2140;1660;125;350
"Parijsch Vlinderbuurt";"Culemborg                               ";1975;1580;105;295
"Parijsch Lokkershoek";"Culemborg                               ";1955;1525;145;285
"Industrieterrein Pavijen";"Culemborg                               ";70;55;10;10
"Buitengebied Waterlinie";"Culemborg                               ";215;195;5;15
"Buitengebied Vretstrooij";"Culemborg                               ";145;140;5;5
"Dalfsen";"Dalfsen                                 ";29683;27142;1157;1384
"Dalfsen";"Dalfsen                                 ";15330;13865;680;790
"Dalfsen Centrum";"Dalfsen                                 ";1090;995;30;65
"Vechtvliet-Leemcule";"Dalfsen                                 ";630;585;25;25
"Pleijendal";"Dalfsen                                 ";1255;1145;40;75
"Polhaar";"Dalfsen                                 ";2160;1935;50;165
"Ankummer Es";"Dalfsen                                 ";2035;1855;45;135
"Gernermarke-Oosterdalfsen";"Dalfsen                                 ";1970;1805;70;95
"Bedrijventerrein Rondweg";"Dalfsen                                 ";185;175;5;5
"Ankum kern";"Dalfsen                                 ";85;75;5;5
"Verspreide huizen Ankum";"Dalfsen                                 ";730;655;45;30
"Verspreide huizen Dalfserveld";"Dalfsen                                 ";405;370;25;10
"Verspreide huizen Welsum-Gerner";"Dalfsen                                 ";385;315;40;30
"Verspreide huizen Hessum-Rechteren";"Dalfsen                                 ";595;400;175;15
"Verspreide huizen Dalmsholte";"Dalfsen                                 ";130;130;5;0
"Verspreide huizen Millingen";"Dalfsen                                 ";275;250;15;5
"Verspreide huizen Emmen-De Marshoek";"Dalfsen                                 ";375;350;15;10
"Hoonhorst kern";"Dalfsen                                 ";725;680;20;30
"Verspreide huizen Lenthe";"Dalfsen                                 ";505;480;20;5
"Oudleusen kern";"Dalfsen                                 ";595;525;20;50
"Verspreide huizen Oudleusenerveld";"Dalfsen                                 ";1200;1135;40;25
"Nieuwleusen";"Dalfsen                                 ";9560;8760;370;435
"Nieuwleusen Noord";"Dalfsen                                 ";2025;1865;80;80
"Nieuwleusen Centrum-noord";"Dalfsen                                 ";1115;1005;40;70
"Nieuwleusen Centrum-zuid";"Dalfsen                                 ";1995;1775;85;135
"Nieuwleusen Zuid";"Dalfsen                                 ";790;730;35;25
"Westerbouwlanden";"Dalfsen                                 ";1675;1505;80;90
"Bedrijventerrein De Grift";"Dalfsen                                 ";105;105;0;0
"Bedrijventerrein De Evenboer";"Dalfsen                                 ";75;70;0;0
"Verspreide huizen De Meele";"Dalfsen                                 ";620;580;25;15
"Verspreide huizen Oosterhulst";"Dalfsen                                 ";225;210;5;10
"Verspreide huizen Ruitenveen";"Dalfsen                                 ";685;655;15;15
"Verspreide huizen Oosteinde";"Dalfsen                                 ";250;250;0;0
"Lemelerveld";"Dalfsen                                 ";4795;4525;110;160
"Lemelerveld kern west";"Dalfsen                                 ";1155;1080;30;50
"Lemelerveld kern oost";"Dalfsen                                 ";1585;1500;50;40
"Nieuwe Landen";"Dalfsen                                 ";790;735;15;35
"Bedrijventerrein 't Febriek";"Dalfsen                                 ";65;60;5;5
"Verspreide huizen Lemelerveld west";"Dalfsen                                 ";665;630;10;20
"Verspreide huizen Lemelerveld oost";"Dalfsen                                 ";535;520;5;15
"Dantumadiel";"Dantumadiel                             ";19135;17887;494;754
"Wijk 00 Centrum";"Dantumadiel                             ";7140;6750;185;205
"Damwâld";"Dantumadiel                             ";5605;5255;165;185
"Broeksterwâld";"Dantumadiel                             ";1110;1080;10;20
"De Falom";"Dantumadiel                             ";240;235;5;5
"Verspreide huizen Damwâld";"Dantumadiel                             ";85;75;5;0
"Verspreide huizen Broeksterwâld";"Dantumadiel                             ";110;105;0;0
"Wijk 01 Oost";"Dantumadiel                             ";1920;1850;25;50
"Driezum";"Dantumadiel                             ";805;770;15;25
"Wâlterswâld";"Dantumadiel                             ";915;890;5;20
"Verspreide huizen Driezum";"Dantumadiel                             ";140;140;0;5
"Verspreide huizen Wâlterswâld";"Dantumadiel                             ";55;55;0;0
"Wijk 02 Zuid";"Dantumadiel                             ";8940;8210;260;465
"De Westereen";"Dantumadiel                             ";5110;4725;170;220
"Feanwâlden";"Dantumadiel                             ";3510;3185;90;240
"Readtsjerk";"Dantumadiel                             ";190;175;5;10
"Verspreide huizen De Westereen";"Dantumadiel                             ";60;55;5;0
"Verspreide huizen Feanwâlden";"Dantumadiel                             ";70;65;0;0
"Wijk 03 West";"Dantumadiel                             ";1135;1075;25;35
"Rinsumageast";"Dantumadiel                             ";945;895;15;35
"Sibrandahûs";"Dantumadiel                             ";40;40;0;0
"Verspreide huizen Rinsumageast";"Dantumadiel                             ";150;140;10;0
"Delft";"Delft                                   ";109577;63629;14927;31021
"Wijk 11 Binnenstad";"Delft                                   ";13935;7855;2890;3190
"Bedrijventerrein Wateringseweg";"Delft                                   ";0;0;0;0
"Centrum-Noord";"Delft                                   ";1035;670;130;235
"Centrum-West";"Delft                                   ";2550;1500;525;530
"Centrum-Oost";"Delft                                   ";2295;1445;425;430
"Centrum";"Delft                                   ";2680;1445;620;620
"Stationsbuurt";"Delft                                   ";950;330;295;320
"Centrum-Zuidwest";"Delft                                   ";1555;745;360;460
"In de Veste";"Delft                                   ";1150;700;230;220
"Centrum-Zuidoost";"Delft                                   ";765;505;135;130
"Zuidpoort";"Delft                                   ";965;520;185;250
"Wijk 12 Vrijenban";"Delft                                   ";9825;6445;1240;2140
"Bedrijventerrein Haagweg";"Delft                                   ";185;105;50;35
"Indische Buurt-Noord";"Delft                                   ";430;315;50;60
"Indische Buurt-Zuid";"Delft                                   ";2305;1580;310;415
"Sint Joris";"Delft                                   ";650;325;115;215
"Koepoort";"Delft                                   ";1650;1110;255;290
"Bomenwijk";"Delft                                   ";1100;750;85;265
"Biesland";"Delft                                   ";1350;940;110;290
"Heilige Land";"Delft                                   ";2090;1275;255;560
"Bedrijventerrein Delftse Poort-West";"Delft                                   ";60;45;5;10
"Wijk 13 Hof van Delft";"Delft                                   ";13680;9005;2010;2665
"Bedrijventerrein Altena";"Delft                                   ";0;0;0;0
"Agnetaparkbuurt";"Delft                                   ";1140;880;130;135
"Ministersbuurt-West";"Delft                                   ";1095;810;95;190
"Ministersbuurt-Oost";"Delft                                   ";2540;1810;385;340
"Westeindebuurt";"Delft                                   ";455;225;50;175
"Olofsbuurt";"Delft                                   ";3625;2265;645;715
"Krakeelpolder";"Delft                                   ";1865;1180;210;480
"Westerkwartier";"Delft                                   ";2960;1835;490;630
"Wijk 14 Voordijkshoorn";"Delft                                   ";12775;8390;1165;3220
"Kuyperwijk-Noord";"Delft                                   ";1500;780;180;545
"Kuyperwijk-Zuid";"Delft                                   ";1750;1030;185;535
"Ecodus";"Delft                                   ";810;635;70;105
"Marlot";"Delft                                   ";680;510;65;110
"Westlandhof";"Delft                                   ";1250;620;115;515
"Hoornse Hof";"Delft                                   ";2410;1860;185;370
"Den Hoorn";"Delft                                   ";2895;1910;220;760
"Molenbuurt";"Delft                                   ";1485;1045;150;290
"Wijk 16 Delftse Hout";"Delft                                   ";80;55;15;15
"De Bras";"Delft                                   ";10;10;5;0
"Bedrijventerrein Ypenburgsepoort";"Delft                                   ";0;0;0;0
"De Grote Plas";"Delft                                   ";40;30;5;0
"Bedrijventerrein Delftse Poort-Oost";"Delft                                   ";10;0;0;5
"Hoflaan";"Delft                                   ";15;15;0;0
"Wijk 22 Tanthof-West";"Delft                                   ";7990;5430;655;1905
"Bedrijventerrein Tanthof-West";"Delft                                   ";105;55;20;25
"Afrikabuurt-West";"Delft                                   ";1780;1350;120;315
"Afrikabuurt-Oost";"Delft                                   ";1720;960;135;625
"Latijns Amerikabuurt";"Delft                                   ";1855;1235;220;405
"Aziëbuurt";"Delft                                   ";2530;1830;165;540
"Tanthofkadebuurt";"Delft                                   ";0;0;0;0
"Wijk 23 Tanthof-Oost";"Delft                                   ";6090;4270;440;1380
"Bedrijventerrein Tanthof-Oost";"Delft                                   ";55;30;5;15
"Boerderijbuurt";"Delft                                   ";1135;785;75;275
"Dierenbuurt";"Delft                                   ";880;600;75;205
"Vogelbuurt-West";"Delft                                   ";1975;1380;160;435
"Vogelbuurt-Oost";"Delft                                   ";1340;895;85;365
"Bosrand";"Delft                                   ";700;585;40;75
"Wijk 24 Voorhof";"Delft                                   ";14765;6340;2145;6280
"Poptahof-Noord";"Delft                                   ";1085;300;65;715
"Poptahof-Zuid";"Delft                                   ";1885;615;310;965
"Bedrijventerrein Voorhof";"Delft                                   ";770;370;140;255
"Mythologiebuurt";"Delft                                   ";1790;750;265;775
"Aart van der Leeuwbuurt";"Delft                                   ";1055;590;205;255
"Roland Holstbuurt";"Delft                                   ";3820;1890;615;1305
"Voorhof-Hoogbouw";"Delft                                   ";2555;1080;325;1155
"Multatulibuurt";"Delft                                   ";1780;720;215;845
"Bedrijventerrein Vulcanusweg";"Delft                                   ";30;20;10;0
"Wijk 25 Buitenhof";"Delft                                   ";14525;7345;1520;5660
"Reinier de Graafbuurt";"Delft                                   ";1050;535;100;410
"Buitenhof-Noord";"Delft                                   ";4045;1725;530;1795
"Juniusbuurt";"Delft                                   ";835;445;105;285
"Gillisbuurt";"Delft                                   ";1495;355;75;1065
"Fledderusbuurt";"Delft                                   ";940;520;55;365
"Het Rode Dorp";"Delft                                   ";930;340;65;520
"Pijperring";"Delft                                   ";640;430;40;170
"Verzetstrijdersbuurt";"Delft                                   ";2180;1405;290;490
"Vrijheidsbuurt";"Delft                                   ";1630;1085;185;355
"Buitenhof-Zuid";"Delft                                   ";775;495;80;200
"Kerkpolder";"Delft                                   ";5;5;0;0
"Wijk 26 Abtswoude";"Delft                                   ";35;25;5;5
"Abtswoude";"Delft                                   ";35;25;5;5
"Wijk 27 Schieweg";"Delft                                   ";1535;965;240;325
"Delftzicht";"Delft                                   ";1495;935;240;320
"Bedrijventerrein Schieweg-Noord";"Delft                                   ";5;5;5;0
"Bedrijventerrein Schieweg-Zuid";"Delft                                   ";10;10;0;0
"Schieweg-Polder";"Delft                                   ";25;15;5;5
"Wijk 28 Wippolder";"Delft                                   ";13980;7295;2555;4130
"Zeeheldenbuurt";"Delft                                   ";1630;1085;245;305
"TU-Noord";"Delft                                   ";1135;350;335;450
"Wippolder-Noord";"Delft                                   ";2320;1575;355;390
"Wippolder-Zuid";"Delft                                   ";1660;905;250;500
"Bedrijventerrein Rotterdamseweg-Noord";"Delft                                   ";35;20;5;10
"TU-Campus";"Delft                                   ";2750;1205;610;935
"Professorenbuurt";"Delft                                   ";2125;1080;320;725
"Bedrijventerrein Delftech";"Delft                                   ";0;0;5;0
"Pauwmolen";"Delft                                   ";115;100;15;5
"Koningsveldbuurt";"Delft                                   ";635;435;105;100
"Schoemakerplantage";"Delft                                   ";1570;550;315;700
"Wijk 29 Ruiven";"Delft                                   ";370;215;40;115
"Bedrijventerrein Rotterdamseweg-Zuid";"Delft                                   ";220;145;35;35
"Bedrijventerrein Technopolis";"Delft                                   ";75;0;0;65
"Ackersdijk";"Delft                                   ";80;65;5;10
"Deurne";"Deurne                                  ";33180;28957;2136;2087
"Deurne";"Deurne                                  ";13800;11970;1010;820
"De Vennen";"Deurne                                  ";1460;1300;75;80
"Deurne Centrum";"Deurne                                  ";1530;1335;135;60
"Heilige Geest";"Deurne                                  ";940;830;55;55
"Houtenhoek";"Deurne                                  ";1130;810;150;170
"Provinciebuurt";"Deurne                                  ";905;730;95;80
"Stationsbuurt";"Deurne                                  ";965;885;50;30
"Vlier-Noord";"Deurne                                  ";420;305;95;20
"Vlier-Zuid";"Deurne                                  ";865;690;70;105
"Walsberg";"Deurne                                  ";985;900;50;35
"Verspreide woningen bij Deurne";"Deurne                                  ";2615;2430;130;55
"Zeilberg";"Deurne                                  ";1760;1565;85;110
"Bedrijventerrein De Bottel";"Deurne                                  ";5;5;0;0
"Bedrijventerrein Kranenmortel";"Deurne                                  ";30;15;15;0
"Bedrijventerrein Leemskuilen";"Deurne                                  ";170;160;5;10
"Bedrijventerrein Rijt-West en Rijt-Oost";"Deurne                                  ";15;10;0;5
"Heiakker";"Deurne                                  ";4485;3870;305;310
"Heiakker-Oost";"Deurne                                  ";2205;2010;115;85
"Heiakker-West";"Deurne                                  ";2275;1860;190;225
"Koolhof";"Deurne                                  ";4065;3205;245;615
"Koolhof-Noord";"Deurne                                  ";855;715;45;100
"Koolhof-Zuid";"Deurne                                  ";3205;2485;205;515
"Sint Jozefparochie";"Deurne                                  ";3200;2910;130;160
"Sint Jozefparochie-Oost";"Deurne                                  ";1770;1595;80;95
"Sint Jozefparochie-West";"Deurne                                  ";1430;1315;50;65
"Vlierden";"Deurne                                  ";1495;1390;70;40
"Vlierden kern";"Deurne                                  ";1180;1100;45;35
"Verspreide woningen bij Vlierden";"Deurne                                  ";320;290;30;5
"Liessel";"Deurne                                  ";3355;3060;205;90
"Liessel kern";"Deurne                                  ";2360;2135;160;70
"Verspreide woningen bij Liessel";"Deurne                                  ";995;925;50;15
"Neerkant";"Deurne                                  ";1865;1720;100;50
"Neerkant kern";"Deurne                                  ";1255;1155;65;35
"Verspreide woningen bij Neerkant";"Deurne                                  ";615;565;35;10
"Helenaveen";"Deurne                                  ";915;830;70;15
"Helenaveen kern";"Deurne                                  ";455;425;20;5
"Verspreide woningen bij Helenaveen";"Deurne                                  ";460;405;45;10
"Deventer";"Deventer                                ";103405;77841;7263;18301
"Binnenstad";"Deventer                                ";8900;6615;875;1415
"Centrum";"Deventer                                ";2980;2270;245;460
"Bergkwartier";"Deventer                                ";675;550;50;80
"Noordenbergkwartier";"Deventer                                ";835;640;65;130
"Noordenbergsingel";"Deventer                                ";425;350;25;45
"Singel";"Deventer                                ";1395;935;285;170
"Raambuurt";"Deventer                                ";875;715;55;110
"Knutteldorp";"Deventer                                ";1720;1145;150;420
"De Hoven";"Deventer                                ";2290;2075;75;140
"De Hoven";"Deventer                                ";2290;2075;80;140
"Zandweerd";"Deventer                                ";11760;9050;825;1885
"Noorderplein";"Deventer                                ";1105;715;155;235
"Zwolseweg";"Deventer                                ";2365;2080;120;165
"Lange Zandstraat";"Deventer                                ";1495;1130;105;265
"Zandweerd-Zuid";"Deventer                                ";2705;1850;205;645
"Zandweerd-Noord";"Deventer                                ";1875;1545;110;215
"Schrijversbuurt";"Deventer                                ";2210;1730;130;355
"Voorstad";"Deventer                                ";10725;6900;970;2855
"Rode Dorp";"Deventer                                ";2525;1435;230;860
"Oudegoedstraat";"Deventer                                ";1350;1110;70;165
"Burgemeestersbuurt";"Deventer                                ";1260;750;90;420
